movie_name,movie_date,movie_language
The Pushkar Lodge,17 apr,Hindi
Roohi Afzana,17 apr,Hindi
Gulabo Sitabo,17 apr,Hindi
Monster Problems,17 apr,English
Trolls World Tour,17 apr,English
Kamali From Nadukkaveri,17 apr,Tamil
Miss India,17 apr,Telugu
Uma Maheswara Ugra Roopasya,17 apr,Telugu
Antardhaan,17 apr,Bengali
Malik,22 apr,Tamil
Gunjan Saxena,24 apr,Hindi
Chehre,24 apr,Hindi
Ludo,24 apr,Hindi
Hera Pheri ,24 apr,Punjabi
Out Of Order,30 apr,English
Coolie No 1,1 may,Hindi
Soorarai Pottru,1 may,Tamil
Bhoomi,1 may,Tamil
Hobuchandra Raja Gobuchandra Mantri,1 may,Bengali
Dracula Sir,1 may,Bengali
Dil Bechara,8 may,Hindi
Shakuntala Devi,8 may,Hindi
Legally Blonde 3,8 may,English
Krack,8 may,Telugu
The Lovebirds,15 may,English
Spiral,15 may,English
The Woman In The Window,15 may,English
Laxmmi Bomb,22 may,Hindi
Radhe,22 may,Hindi
The SpongeBob Movie: Sponge on the Run,22 may,English
Johaar,22 may,Telugu
Ombatthane Dikku,22 may,Kannada
Artemis Fowl,29 may,English
Romantic,29 may,Telugu
Nikamma,5 jun,Hindi
Indoo Ki Jawani,5 jun,Hindi
Medium Spicy,5 jun,Marathi
Belashuru,5 jun,Bengali
Chhalaang,12 jun,Hindi
Khaali Peeli,12 jun,Hindi
Virgin Bhanupriya,12 jun,Hindi
Candyman,12 jun,English
Puaada,12 jun,Punjabi
Minions: The Rise of Gru,19 jun,English
Soul,19 jun,English
Thalaivi,26 jun,"Hindi, "
Top Gun: Maverick,26 jun,"Hindi, "
Bunty Aur Babli 2,26 jun,Hindi
Phatte Dinde Chakk Punjabi,26 jun,Punjabi
Jodi (Punjabi),26 jun,Punjabi
Shershaah,3 jul,Hindi
Saroj Ka Rishta,3 jul,Hindi
Free Guy,3 jul,English
Rowdy Baby,3 jul,Kannada
Sadak 2,10 jul,Hindi
Heropanti 2,16 jul,Hindi
Madam Chief Minister,17 jul,Hindi
Tenet,17 jul,"Hindi, "
Shamshera,31 jul,Hindi
Bhool Bhulaiyaa 2,31 jul,Hindi
Rumble,31 jul,English
Ananya,31 jul,Marathi
The Empty Man,7 aug,English
Infinite,7 aug,English
Bhuj: The Pride of India,14 aug,Hindi
Wonder Woman 1984,14 aug,"Hindi, "
Hungama 2,14 aug,Hindi
The One and Only Ivan,14 aug,English
Malignant,14 aug,English
Nobody,14 aug,English
Golondaaj,14 aug,Bengali
Jersey (Hindi),28 aug,Hindi
Gangubai Kathiawadi,11 sep,Hindi
The Conjuring 3: The Devil Made Me Do It,11 sep,English
Toofan,18 sep,Hindi
Haseen Dillruba,18 sep,Hindi
The King's Man,18 sep,English
Without Remorse,20 sep,English
Many Saints Of Newark,25 sep,English
Sardar Udham Singh,2 oct,Hindi
Jayeshbhai Jordaar,2 oct,Hindi
Satyameva Jayate 2,2 oct,Hindi
Venom 2,2 oct,English
Halloween Kills,16 oct,English
The Big Bull,23 oct,Hindi
K.G.F. Chapter 2,23 oct,Kannada
Ab Har Dayara Tutega,6 nov,Hindi
Black Widow,6 nov,"Hindi, "
The Eternals,6 nov,English
The Third Hacker,13 nov,Hindi
Prithviraj,13 nov,Hindi
Red Notice,13 nov,English
Deep Water,13 nov,English
Godzilla Vs Kong,20 nov,English
Raya & The Last Dragon,25 nov,English
Clifford The Big Red Dog,27 nov,English
King Richard,27 nov,English
Brahmastra,4 dec,"Hindi, "
Aaha,6 dec,Malayalam
Maidaan,11 dec,"Hindi, "
The Croods 2,18 dec,English
Dune,18 dec,English
West Side Story,18 dec,English
Life on a Bicycle,25 dec,Hindi
The Tomorrow War,25 dec,English
Tonic,25 dec,Bengali
Mr. Lele,1 jan,Hindi
Ek Villain 2,8 jan,Hindi
RRR,8 jan,"Hindi, "
The Last Duel,8 jan,English
Coming 2 America,8 jan,English
Peter Rabbit 2: The Runaway,15 jan,"Hindi, "
Bachchan Pandey ,22 jan,Hindi
Shabaash Mithu,5 feb,Hindi
Shang-Chi and the Legend of the Ten Rings,12 feb,English
Ron's Gone Wrong,26 feb,English
Ghostbusters: Afterlife,5 mar,English
Foster,5 mar,English
Morbius,19 mar,English
Masters Of The Universe,21 mar,English
The Boss Baby 2,26 mar,English
Bell Bottom,2 apr,Hindi
Fast and Furious 9,2 apr,"Hindi, "
Fast and Furious 10,2 apr,English
Manje Bistre 3,9 apr,Punjabi
Kabhi Eid Kabhi Diwali,13 may,Hindi
Indiana Jones 5,9 jul,English
Avatar 2,17 dec,English
Black Adam,22 dec,English
Aquaman 2,16 dec,English
Master,2020,Tamil
Cobra,2020,Tamil
83,2020,"Hindi, "
Babloo Bachelor,2020,Hindi
Poster,2020,Telugu
Damayana,2020,Kannada
Marakkar: Lion of the Arabian Sea,2020,Hindi
Mulan,2020,English
Ponmagal Vandhal,2020,Tamil
Naa Peru Raja,2020,Telugu
Amrutha Ramam,2020,Telugu
Orey Bujji Ga,2020,Telugu
30 Rojullo Preminchadam Ela,2020,Telugu
V (Telugu),2020,Telugu
Marakkar: Arabikadalinte Simham,2020,"Kannada, "
Laddu,2020,Kannada
Yaar Anmulle Returns,2020,Punjabi
Ramrajya,2020,Hindi
Barbie,2020,English
Love Story,2020,Telugu
Naarappa,2020,Telugu
Rang De,2020,Telugu
Hawa Singh,2020,Hindi
Bob Biswas,2020,Hindi
Tauba Tera Jalwa,2020,Hindi
Navy Day,2020,Hindi
Kaathuvaakula Rendu Kaadhal,2020,Tamil
Time Illa,2020,Tamil
The World of #NC19,2020,Telugu
Mosagallu,2020,Telugu
YeRe YeRe Pavsa,2020,Marathi
Bela Shuru,2020,Bengali
June,2020,Marathi
Doosra,2020,Hindi
Ninna Sanihake,2020,Kannada
Chase,2020,Kannada
Amruth Apartments,2020,Kannada
Kurup,2020,Malayalam
Time To Dance,2020,Hindi
Gambit,2020,"Hindi, "
Rajabheema,2020,Tamil
Mumbai Saga,2020,Hindi
Baap Re Baap,2020,Hindi
Durgavati,2020,Hindi
Ondu Ghanteya Kathe,2020,Kannada
My Spy,2020,English
In the Heights,2020,English
Pandrikku Nadri Solli,2020,Tamil
Seetimaarr,2020,Telugu
Basta,2020,Marathi
Moksha,2020,Kannada
Mass Power,2020,Telugu
Sreekaram,2020,Telugu
Mdhuravada,2020,Telugu
Preethi Irabaradhey,2020,Kannada
Mirugaa,2020,Tamil
Lokkhi Chhele,2020,Bengali
The Kashmir Files,2020,Hindi
Aham Brahmasmi,2020,"Hindi, "
Thamezharasan,2020,Tamil
Rashmi Rocket,2020,Hindi
The New Mutants,2020,"Hindi, "
Haathi Mere Saathi,2020,Hindi
Sandeep Aur Pinky Faraar,2020,Hindi
Harshali,2020,Hindi
Misbehaviour,2020,English
The Personal History of David Copperfield,2020,English
The Secret: Dare to Dream,2020,English
A Quiet Place - Part 2,2020,English
O ,2020,"Tamil, "
Arasiyalla Idhellam Saadharanam appa,2020,Tamil
Vajvuya Band Baja,2020,Marathi
Email Female,2020,Marathi
Panghrun,2020,Marathi
Gaav Pudhe Aahe,2020,Marathi
Thurthu Nirgamana,2020,Kannada
Kademane,2020,Kannada
NaakuMukha,2020,Kannada
Chhotu 2,2020,Gujarati
Pyar Ho Gail Zahar,2020,Bhojpuri
I Know You,2020,Hindi
Boomerang,2020,Telugu
Yuvarathnaa,2020,Kannada
RUN 2,2020,Kannada
Goreyan Nu Daffa Karo 2,2020,Punjabi
Saumya Ganesh,2020,Hindi
Dhaakad,2020,Hindi
Suraj Pe Mangal Bhari,2020,Hindi
Antlers,2020,English
Aranya,2020,Telugu
ILU-ILU,2020,Marathi
Satarcha Salman,2020,Marathi
Bhayam,2020,Hindi
Chandrabati Kotha,2020,Bengali
Sherni,2020,Hindi
